Date,Price,Return
2016-08-15,2578.39,0.017231925
2016-08-16,2576.71,-0.000651782
2016-08-17,2573.29,-0.001328156
2016-08-18,2578.1,0.001867458
2016-08-19,2574.86,-0.00125753
2016-08-22,2561.05,-0.005377833
2016-08-23,2563.67,0.001022495
2016-08-24,2548.71,-0.005852477
2016-08-25,2536.71,-0.004719383
2016-08-26,2542.45,0.002260217
2016-08-29,2537.83,-0.001818798
2016-08-30,2550.6,0.00501924
2016-08-31,2545.9,-0.001844404
2016-09-01,2545.24,-0.000259274
2016-09-02,2553.22,0.00313036
2016-09-05,2576.1,0.00892132
2016-09-06,2609.1,0.012728707
2016-09-07,2607.48,-0.000621097
2016-09-08,2614.22,0.002581536
2016-09-09,2598.48,-0.006039115
2016-09-12,2540.8,-0.022447667
2016-09-13,2538.24,-0.001008065
2016-09-14,2532.46,-0.002279765
2016-09-15,2540.45,0.003150068
2016-09-16,2539.83,-0.000244081
2016-09-19,2559.19,0.007593653
2016-09-20,2555.2,-0.001560304
2016-09-21,2574.59,0.0075598
2016-09-22,2594.16,0.007572467
2016-09-23,2583.97,-0.003935789
2016-09-26,2539.1,-0.017517288
2016-09-27,2560.13,0.008248351
2016-09-28,2554.91,-0.00204104
2016-09-29,2559.55,0.001814464
2016-09-30,2545.13,-0.005649733
2016-10-03,2557.89,0.005000971
2016-10-04,2565.31,0.002896629
2016-10-05,2572.35,0.002740549
2016-10-06,2579.82,0.002899751
2016-10-07,2572.76,-0.002740376
2016-10-10,2591.08,0.007095525
2016-10-11,2576.44,-0.005666176
2016-10-12,2562.54,-0.005409647
2016-10-13,2540.92,-0.008472734
2016-10-14,2547.74,0.002680472
2016-10-17,2531.18,-0.006521095
2016-10-18,2566.37,0.013806852
2016-10-19,2561.49,-0.001903329
2016-10-20,2565.39,0.001521393
2016-10-21,2565.16,-8.97E-05
2016-10-24,2589.67,0.0095096
2016-10-25,2586.82,-0.001101132
2016-10-26,2566.54,-0.007870634
2016-10-27,2551.62,-0.005830237
2016-10-28,2537.84,-0.005415126
